parameter_pairs,S2,S2_conf
f1 - c41,-6.45710276100856e-05,0.0003400985073744756
f1 - c42,-7.788979203735648e-05,0.00033782372825386315
f1 - e5,0.00014039125843323674,0.0004597639502405694
f1 - c51,-6.605508547219889e-05,0.00033983963985044176
f1 - c52,-6.307987086393019e-05,0.00032842233029562156
f1 - K6,-6.478212324859597e-05,0.0003401036260477477
f1 - f6,-6.471568475524115e-05,0.0003401168328374605
f1 - b6,-5.7846032307277365e-05,0.00033626199385992
f1 - c6,-6.0685386066079814e-05,0.0003398142667238819
f1 - K7,-6.446878396959988e-05,0.00034006107554814327
f1 - g7,-6.43773955590454e-05,0.0003400814953474616
f1 - b7,-6.344633030542086e-05,0.00033933569446536273
f1 - c7,-5.8407058689783724e-05,0.0003399344341772523
K2 - b2,-0.0018667651308389038,0.004468461689200019
K2 - a2,-0.0016251555287330709,0.004383348396231175
K2 - d2,-0.002373131668932582,0.0043290777612270915
K2 - e2,-0.002263257595632602,0.004269461391075557
K2 - g2,-0.002465966566881496,0.0043480357603729956
K2 - c3,-0.0009919839987882206,0.004522309658794066
K2 - b3,0.0014327870942518334,0.004733928222189074
K2 - d4,-0.0022854577024712113,0.004332763085315759
K2 - c41,-0.0023700376531554652,0.004329845083670432
K2 - c42,-0.0023259346879951764,0.004328356991326618
K2 - e5,0.03171526041649747,0.006670038007027133
K2 - c51,-0.002341147709505736,0.004328083035643514
K2 - c52,0.0003854269408137545,0.004165075839425833
K2 - K6,-0.002369845246238982,0.0043294393491857845
K2 - f6,-0.0023684761399109327,0.004330061970657038
K2 - b6,-0.002309140264529448,0.004317254422977546
K2 - c6,-0.002326209239545229,0.004312725076338874
K2 - K7,-0.0023731086774337047,0.004328745699152401
K2 - g7,-0.0023774470354626107,0.004328275399628223
K2 - b7,-0.002161567746982478,0.0043392950166775985
K2 - c7,-0.0024303864157471174,0.004329223370885436
b2 - a2,0.0008414550255225698,0.0021553974824959085
b2 - d2,-0.0010491524089164146,0.001984332289857168
b2 - e2,-0.0009792178994020607,0.002015459403191094
b2 - g2,-0.0010837051639220761,0.0019853873095682893
b2 - c3,-0.0009832420576919298,0.0021390253197396967
b2 - b3,-0.0008548232436506736,0.0019590034647232113
b2 - d4,-0.001149352439758581,0.001990030925968529
b2 - c41,-0.0010988162504665018,0.001975190537059972
b2 - c42,-0.0010494057522034716,0.0019721278110986654
b2 - e5,0.0032975755960606423,0.002823678802416179
b2 - c51,-0.0011055247035095636,0.0019773368107614546
b2 - c52,-0.0008897585588012874,0.002011623642517035
b2 - K6,-0.0010999363426395434,0.0019750235970438608
b2 - f6,-0.0010961327813702269,0.0019756013932912264
b2 - b6,-0.0010414779594494882,0.0019825618151675974
b2 - c6,-0.0011128259643599057,0.001978756852057068
b2 - K7,-0.001099257655257831,0.0019749050991983434
b2 - g7,-0.0011046605463711362,0.0019749182054106464
b2 - b7,-0.0010668215526791131,0.00197747432208273
b2 - c7,-0.0011307706202154585,0.0019555289730966746
a2 - d2,-0.0002776583874519097,0.002876663407647143
a2 - e2,-7.308096121319769e-05,0.002864811297097747
a2 - g2,-0.0002903627352230564,0.0028694080507992367
a2 - c3,0.0011616983892783067,0.0029165006512196965
a2 - b3,0.0014141820133091246,0.003039949486086336
a2 - d4,-0.00015323053465475934,0.002867132163904601
a2 - c41,-0.00025503527133043775,0.0028720674169923177
a2 - c42,-0.0002680557184933044,0.002888527058038661
a2 - e5,0.01430099557916048,0.004130346000646366
a2 - c51,-0.00021487064676790587,0.0028757071783371444
a2 - c52,0.00027504912451162267,0.002782653723192524
a2 - K6,-0.00025385837021755473,0.0028718096287648435
a2 - f6,-0.00025541436396232396,0.0028724401681853294
a2 - b6,-0.00021397029988823158,0.002870528253418567
a2 - c6,-0.0002565570791950442,0.0028754679291831805
a2 - K7,-0.000249815372155685,0.0028718162981864036
a2 - g7,-0.0002649799426027974,0.0028719304024866017
a2 - b7,-0.00021588721438370944,0.002844274701332978
a2 - c7,-0.00028284760992011417,0.0028852322688700215
d2 - e2,8.344861132278739e-05,0.0002673436298212718
d2 - g2,6.822765205658574e-05,0.0002552328353867987
d2 - c3,8.998501655857472e-05,0.0002903366093584872
d2 - b3,5.506697701677249e-05,0.0002985625550093042
d2 - d4,9.515152098410079e-05,0.00025475370414672897
d2 - c41,7.632322390325395e-05,0.000257602095193876
d2 - c42,8.732420619056666e-05,0.000259824388133254
