parameter_pairs,S2,S2_conf
b2 - g7,-0.00023188704615673513,0.004617163587575379
b2 - b7,0.0009133073324865994,0.0046240545945352525
b2 - c7,5.877623327635545e-05,0.004634220022037384
a2 - d2,0.0005298698151809484,0.005145631584184791
a2 - e2,0.0002827100451318733,0.005265906945544033
a2 - g2,0.00047027151860198164,0.005153079278153253
a2 - c3,0.0006376798296872459,0.005190898031257188
a2 - b3,0.000563680870470624,0.005221873208271425
a2 - d4,0.0004703871162416579,0.005190513678679681
a2 - c41,0.0005017704928321486,0.0051462698767936795
a2 - c42,0.000657826519266563,0.005152222231641571
a2 - e5,0.0005691963165380524,0.005239429767086524
a2 - c51,0.000483171768657459,0.005164323358266318
a2 - c52,0.0005680785607013843,0.005322929078849833
a2 - K6,0.0005429488805521696,0.005151128183855988
a2 - f6,0.0004933100148554251,0.0051682675449509444
a2 - b6,0.0004357389699051298,0.005172555409688924
a2 - c6,0.00042817444218648905,0.005136050124452708
a2 - K7,0.0004947058507675504,0.005164462792908629
a2 - g7,0.0004982870381899057,0.005167952424765655
a2 - b7,0.000690448430141339,0.005123589526379468
a2 - c7,0.0003617893428317111,0.005147742202530381
d2 - e2,-5.7484429672239636e-05,0.0003593155166224586
d2 - g2,-8.453069927826895e-05,0.0003648013115471346
d2 - c3,-3.639823463442299e-05,0.0003644105617617532
d2 - b3,-4.31961950175452e-05,0.00036215533516435804
d2 - d4,-4.5048046588950586e-05,0.0003638691465103398
d2 - c41,-7.726133346195167e-05,0.00036345128534977483
d2 - c42,6.129656641356478e-05,0.0003614798345566272
d2 - e5,-3.848063195147208e-05,0.0003711071558804858
d2 - c51,-6.981757286519052e-05,0.0003634710937150515
d2 - c52,-4.448193592375069e-05,0.00037338533718559477
d2 - K6,-7.847882229316982e-05,0.0003629805515433897
d2 - f6,-7.464709778222442e-05,0.00036378734192003874
d2 - b6,-7.38584234130764e-05,0.0003665482575984568
d2 - c6,-7.147720682484446e-05,0.0003633661456236374
d2 - K7,-7.398472614624613e-05,0.0003631860610816492
d2 - g7,-7.193406073287755e-05,0.000363279946560206
d2 - b7,-6.081992121896021e-05,0.0003622185741576126
d2 - c7,-7.021077054348126e-05,0.0003624280804882589
e2 - g2,-7.887798934527431e-05,0.0014594627608438093
e2 - c3,0.00041505831205680384,0.0014455332618759425
e2 - b3,0.00034737345527713,0.0014551094246584933
e2 - d4,-7.441314575357296e-05,0.0014483760050401798
e2 - c41,-8.757955711331824e-05,0.001456832251213285
e2 - c42,-3.4268603296874864e-05,0.0014518542814779276
e2 - e5,0.00014933734369493952,0.0014632433810519917
e2 - c51,-9.807597861646172e-05,0.0014542043658084874
e2 - c52,0.0021087755214756997,0.0014832053040226667
e2 - K6,-8.491841174766563e-05,0.001456078939871291
e2 - f6,-9.790546260763184e-05,0.0014578375561972992
e2 - b6,-9.950984800306914e-05,0.0014613670942682671
e2 - c6,-8.134529860738855e-05,0.001455777939790513
e2 - K7,-9.567701430382566e-05,0.001455213803452371
e2 - g7,-9.900827587425116e-05,0.0014535470294951983
e2 - b7,-0.00014139265969097172,0.0014595203902546129
e2 - c7,-0.00012023370889040837,0.00145120200564888
g2 - c3,0.00015684736348242113,0.0006715606575305854
g2 - b3,0.00011077725490522957,0.0006604730101193029
g2 - d4,4.6580360983456564e-05,0.0006735470430421549
g2 - c41,5.290687153810795e-05,0.0006715284687845999
g2 - c42,4.997458604603141e-05,0.0006729527479650557
g2 - e5,0.0001010054309578891,0.0006805999947992014
g2 - c51,5.556820739245366e-05,0.0006724902679154204
g2 - c52,0.00010969600974803165,0.0006723533858298145
g2 - K6,5.706800357456582e-05,0.000671934771425162
g2 - f6,5.3322597442823e-05,0.0006724799444980141
g2 - b6,6.066841091247304e-05,0.0006730840595868711
g2 - c6,4.931585208604186e-05,0.0006742261859910048
g2 - K7,5.8952232449240765e-05,0.0006717817374440236
g2 - g7,6.068590015262783e-05,0.0006728752419678019
g2 - b7,0.0005188034390204749,0.0006674547629714956
g2 - c7,0.00022757351115376234,0.0006756551484053737
c3 - b3,0.0002558671037598795,0.00119823520526129
c3 - d4,0.00019952758976488685,0.001210285114266513
c3 - c41,0.0001311475143041372,0.0012131045370027353
c3 - c42,0.000257442946145219,0.001212569329128495
c3 - e5,0.00025224533046306003,0.0012477533176859675
c3 - c51,0.00012137239520535045,0.0012112637255341139
c3 - c52,0.000760413709058938,0.0012148980156906383
c3 - K6,0.00013134378342935654,0.0012135460711412075
c3 - f6,0.0001293328883720881,0.001213784337863161
c3 - b6,0.00014699880048087914,0.0012261551938771338
c3 - c6,9.823609515791421e-05,0.001212551307674756
c3 - K7,0.00013529553037898564,0.0012142373896757935
c3 - g7,0.0001308976582898238,0.0012153489538173857
