parameter_pairs,S2,S2_conf
b2 - b7,-0.0006880780048728854,0.0018797767582741814
b2 - c7,-0.0007210570321879092,0.0018678250894029935
a2 - d2,0.0011614080361187211,0.003084831772588403
a2 - e2,0.0011709164178916197,0.003021722817556869
a2 - g2,0.0010971169738832579,0.0030256211850732224
a2 - c3,0.0014041883781766504,0.003138641485934038
a2 - b3,0.0020341697243967047,0.0031047478550185257
a2 - d4,0.020010212541793915,0.007143242338284282
a2 - c41,0.0010839453359647823,0.0030507211371064128
a2 - c42,0.001468204697348638,0.0030885669540273377
a2 - e5,0.0009866911209797566,0.0030642201005887416
a2 - c51,0.0011233444302381492,0.0030532195515063924
a2 - c52,0.0011386753918939583,0.0030442095180550012
a2 - K6,0.0011264310391686553,0.0030477337100948986
a2 - f6,0.0010926230442181756,0.003061888891907549
a2 - b6,0.0011725474819793006,0.003147417933804459
a2 - c6,0.0012403722867739436,0.0031503189112526307
a2 - K7,0.0011060167509806572,0.0030487093017260614
a2 - g7,0.0011121419628606017,0.003049039306982315
a2 - b7,0.0011229956946178404,0.003078052251577705
a2 - c7,0.001180747180400418,0.0030815063848591904
d2 - e2,0.0002955795645030097,0.0019387745167881933
d2 - g2,0.00035346116524985916,0.0019476451350819478
d2 - c3,0.00035002131046690116,0.0020757080740818803
d2 - b3,0.0006418307385098188,0.0019594998730793605
d2 - d4,0.007122081367746225,0.005135966233339601
d2 - c41,0.0003790508122406218,0.0019603141801536076
d2 - c42,0.0005249437949538804,0.0020264672700439535
d2 - e5,0.00040547919121854603,0.0019287054432520683
d2 - c51,0.0003757820137915578,0.0019637177472417995
d2 - c52,0.000526173411322691,0.0019497510938653786
d2 - K6,0.0003791000583672717,0.001968439286085799
d2 - f6,0.00037426140681021407,0.001955550784984432
d2 - b6,0.00042710485464156513,0.001958843282106423
d2 - c6,0.0004397197958515997,0.0019784910962139684
d2 - K7,0.0003609839832671686,0.001960108861454299
d2 - g7,0.0003604671386393299,0.0019597873438027195
d2 - b7,0.0004327440670718773,0.001979061088384996
d2 - c7,0.0004190378714962609,0.0019563866873932253
e2 - g2,-0.0005620991210522668,0.0012542107660560523
e2 - c3,-2.093283931053902e-06,0.0013182814629508336
e2 - b3,-0.0006789138850416682,0.0012327010137643246
e2 - d4,0.0006643554052608858,0.0024855721334051052
e2 - c41,-0.0005461571320320239,0.0012510129613846697
e2 - c42,-0.0009329402442256607,0.0011004468453617825
e2 - e5,-0.0003865912486794934,0.0012328532192515764
e2 - c51,-0.0005465356877196276,0.0012493512639119484
e2 - c52,-0.00042113291605635757,0.0012337356961357937
e2 - K6,-0.0005469559841198607,0.0012516608668116953
e2 - f6,-0.0005441568896208792,0.001251922648720217
e2 - b6,-0.000491024599403392,0.001297951711207085
e2 - c6,-0.0005335809387487518,0.0012851131757371365
e2 - K7,-0.0005734838254060862,0.0012518741253726702
e2 - g7,-0.0005584262990132047,0.0012583096516117793
e2 - b7,-0.0005467254103670336,0.0012531954371859059
e2 - c7,-0.0005697962264370824,0.0012541707702719727
g2 - c3,0.00011160295031075601,0.0005564075300479658
g2 - b3,0.0002199095773028903,0.000665365746334635
g2 - d4,-0.00019175042906116602,0.0012606778822316018
g2 - c41,0.00020714572692368867,0.000618070271427158
g2 - c42,9.286243106337855e-05,0.0005891300823276748
g2 - e5,0.00018588557036216548,0.0006208714638406808
g2 - c51,0.00020002699286960385,0.0006181831546588266
g2 - c52,0.00017676163667385914,0.0006093383286863935
g2 - K6,0.00020655947018367185,0.0006174392683536298
g2 - f6,0.00020072506340909442,0.0006177629523578711
g2 - b6,0.00019708800893909073,0.0006220064350841107
g2 - c6,0.00020689538080447169,0.0006208672261218462
g2 - K7,0.0002068882268299393,0.0006178452181697777
g2 - g7,0.00020486698117067596,0.0006198944683649645
g2 - b7,0.00026102575953412235,0.000619710569454993
g2 - c7,0.00022723808449561764,0.0006177225541048476
c3 - b3,0.003909281973568324,0.005335293687155223
c3 - d4,0.07576889944616616,0.01316319341970546
c3 - c41,0.0009613687220582115,0.005242949355748042
c3 - c42,0.005609550789062084,0.0056743768990272815
c3 - e5,0.001107708484158526,0.005164926418335207
c3 - c51,0.0009412617661886567,0.005222447195743814
c3 - c52,0.0011559989226859984,0.005342051343551709
c3 - K6,0.000914507740132747,0.005225151342251217
c3 - f6,0.0009342348871146279,0.005220280658325808
c3 - b6,0.0013228830219944579,0.005345454785379016
c3 - c6,0.0011639022611026413,0.005241725603161806
c3 - K7,0.0009035823551574517,0.0052242163069949514
c3 - g7,0.0009794581440956693,0.005232197612785424
c3 - b7,0.0009175090655690487,0.005207261280144296
c3 - c7,0.001006259698048401,0.0052523779812452005
b3 - d4,0.050096998586863783,0.010754763518315641
b3 - c41,-0.00014433357531567798,0.004512245048919998
